query,date_checked,search_context,observed_result_url,domain,observed_title_or_h1,page_type,publisher_class,exact_intent_match,kensington_specific,content_depth_visible,freshness_visible,faq_visible,images_or_diagrams_visible,strong_cta_visible,local_trust_claims_visible,structured_data_detectable,intent_match_quality_1_5,usefulness_1_5,commercial_strength_1_5,evidence_status,notes
plumber Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumbingkensington.co.uk/,plumbingkensington.co.uk,"Plumber Kensington",homepage,local_independent,yes,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,5,DIRECTIONAL,"Observed local exact-match competitor; availability and experience claims are competitor claims, not verified facts about this site."
plumber Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.kensingtonplumber.co.uk/,kensingtonplumber.co.uk,"Plumber Kensington",homepage,local_independent,yes,yes,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,5,3,5,DIRECTIONAL,"Broad service, boiler/heating and locality-led competitor presentation observed."
plumber W8,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.kensingtonplumber.co.uk/,kensingtonplumber.co.uk,"Plumber Kensington",homepage,local_independent,partial,yes,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,4,3,5,DIRECTIONAL,"W8 appears in location wording; do not infer a stable result position."
local plumber Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumblondon.com/plumber/kensington/,plumblondon.com,"Local Plumber in Kensington",location_page,independent_london_brand,yes,yes,long,UNAVAILABLE,yes,yes,yes,yes,UNAVAILABLE,5,4,5,VERIFIED,"Page inspected directly; broad local-service template with booking CTA, reviews, area links and strong claims."
plumbing services Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.andersonandsons.co.uk/l/kensington/plumbing-services,andersonandsons.co.uk,"Plumbing Services Kensington",location_page,independent_london_brand,yes,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,5,DIRECTIONAL,"Observed service/location page; exact SERP order not retained."
emergency plumber Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.fastfixlondon.com/services/emergency-plumbing/kensington,fastfixlondon.com,"Emergency Plumbing Kensington",location_page,independent_london_brand,yes,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,5,DIRECTIONAL,"Competitor is availability-led; do not copy 24-hour or response-time positioning."
emergency plumber Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.checkatrade.com/Search/Emergency-Plumber-Service/in/Kensington,checkatrade.com,"Emergency Plumber Service in Kensington",directory,directory,yes,yes,moderate,UNAVAILABLE,UNAVAILABLE,yes,yes,yes,UNAVAILABLE,5,3,5,DIRECTIONAL,"Directory participation observed; no inference about local-pack presence or rankings."
urgent plumber Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://emergencyplumbing.co.uk/areas/kensington,emergencyplumbing.co.uk,"Emergency Plumber Kensington",location_page,independent_london_brand,yes,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,5,UNAVAILABLE,5,DIRECTIONAL,"Commercial SERP is crowded with urgent/availability promises."
leak repair Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.plumblondon.com/plumber/kensington/,plumblondon.com,"Local Plumber in Kensington",location_page,independent_london_brand,partial,yes,long,UNAVAILABLE,yes,yes,yes,yes,UNAVAILABLE,3,4,5,VERIFIED,"Generic local page competes broadly rather than with a narrow leak-only page."
leak repair Kensington,2026-08-27,"UK web SERP; exact order intentionally not recorded",https://www.mpeservices.com/,mpeservices.com,"MPE Services",homepage,independent_london_brand,partial,yes,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,yes,yes,UNAVAILABLE,3,UNAVAILABLE,5,DIRECTIONAL,"Coverage wording including W8/W14 was observed; it does not verify this project's scope."
