query,family,qualification,evidence_status,current_or_proposed_owner
plumber Kensington,core local commercial,Kensington,DIRECTIONAL,/
plumber W8,core local commercial,W8,DIRECTIONAL,/
local plumber Kensington,core local commercial,Kensington,DIRECTIONAL,/
local plumber W8,core local commercial,W8,DIRECTIONAL,/
plumbing Kensington,core local commercial,Kensington,DIRECTIONAL,/
plumbing W8,core local commercial,W8,DIRECTIONAL,/
plumbing services Kensington,core local commercial,Kensington,DIRECTIONAL,/services
plumbing services W8,core local commercial,W8,DIRECTIONAL,/services
emergency plumber Kensington,core local commercial,Kensington,DIRECTIONAL,/services/emergency-plumber
emergency plumber W8,core local commercial,W8,DIRECTIONAL,/services/emergency-plumber
emergency plumbing Kensington,core local commercial,Kensington,DIRECTIONAL,/services/emergency-plumber
emergency plumbing W8,core local commercial,W8,DIRECTIONAL,/services/emergency-plumber
urgent plumber Kensington,core local commercial,Kensington,DIRECTIONAL,/services/emergency-plumber
urgent plumber W8,core local commercial,W8,DIRECTIONAL,/services/emergency-plumber
plumber Kensington London,core local commercial,Kensington London,DIRECTIONAL,/
plumber in Kensington London,core local commercial,Kensington London,DIRECTIONAL,/
plumber near Kensington London,core local commercial,Kensington London,DIRECTIONAL,/
plumbing company Kensington,core local commercial,Kensington,DIRECTIONAL,/
plumbing repairs Kensington,core local commercial,Kensington,DIRECTIONAL,/services
domestic plumber Kensington,core local commercial,Kensington,DIRECTIONAL,/
leak repair Kensington,core local commercial,Kensington,DIRECTIONAL,/services/leak-repair
leak repair W8,core local commercial,W8,DIRECTIONAL,/services/leak-repair
water leak Kensington,core local commercial,Kensington,DIRECTIONAL,/services/leak-repair
water leak W8,core local commercial,W8,DIRECTIONAL,/services/leak-repair
leaking pipe Kensington,core local commercial,Kensington,DIRECTIONAL,/services/leak-repair
leaking pipe W8,core local commercial,W8,DIRECTIONAL,/services/leak-repair
pipe repair Kensington,core local commercial,Kensington,DIRECTIONAL,RESEARCH_ONLY
pipe repair W8,core local commercial,W8,DIRECTIONAL,RESEARCH_ONLY
burst pipe Kensington,core local commercial,Kensington,DIRECTIONAL,/services/emergency-plumber
burst pipe W8,core local commercial,W8,DIRECTIONAL,/services/emergency-plumber
blocked toilet Kensington,core local commercial,Kensington,DIRECTIONAL,/services/blocked-toilet
blocked toilet W8,core local commercial,W8,DIRECTIONAL,/services/blocked-toilet
toilet repair Kensington,core local commercial,Kensington,DIRECTIONAL,/services/toilet-repair
toilet repair W8,core local commercial,W8,DIRECTIONAL,/services/toilet-repair
toilet plumber Kensington,core local commercial,Kensington,DIRECTIONAL,/services/toilet-repair
toilet plumber W8,core local commercial,W8,DIRECTIONAL,/services/toilet-repair
tap repair Kensington,core local commercial,Kensington,DIRECTIONAL,/services/tap-repair
tap repair W8,core local commercial,W8,DIRECTIONAL,/services/tap-repair
leaking tap Kensington,core local commercial,Kensington,DIRECTIONAL,/services/tap-repair
leaking tap W8,core local commercial,W8,DIRECTIONAL,/services/tap-repair
dripping tap Kensington,core local commercial,Kensington,DIRECTIONAL,/services/tap-repair
dripping tap W8,core local commercial,W8,DIRECTIONAL,/services/tap-repair
shower repair Kensington,core local commercial,Kensington,DIRECTIONAL,/services/shower-repair
shower repair W8,core local commercial,W8,DIRECTIONAL,/services/shower-repair
