cluster_id,query_family,representative_queries,canonical_owner,classification,decision,cannibalisation_guardrail,evidence_status
C01,core_local,"plumber Kensington | plumber W8 | local plumber Kensington | plumbing services Kensington",/,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Homepage owns broad Kensington/W8 entry intent; do not create a W8 alias or a generic plumber location page.",DIRECTIONAL
C02,urgent_plumbing,"emergency plumber Kensington | emergency plumbing Kensington | urgent plumber Kensington | emergency plumber W8",/services/emergency-plumber,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Retain safety-first urgent wording. Do not turn variants into 24/7, availability or response-time pages.",DIRECTIONAL
C03,leak_repair,"leak repair Kensington | water leak Kensington | pipe leaking | leaking pipe joint | hidden water leak signs",/services/leak-repair,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Leak repair owns source-led water-leak intent. Ceiling symptom and advice routes retain their separate roles.",DIRECTIONAL
C04,ceiling_symptom,"water coming through ceiling | water dripping through ceiling | ceiling leak | wet patch on ceiling",/plumbing-problems/water-coming-through-ceiling,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Use the problem route for immediate symptom recognition; do not create separate wet-patch or dripping-ceiling URLs.",DIRECTIONAL
C05,ceiling_advice,"what to do if water comes through ceiling | ceiling leak safety steps",/plumbing-advice/what-to-do-if-water-is-coming-through-your-ceiling,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Advice owns safety-first question intent; link to the problem/service rather than duplicating their commercial copy.",DIRECTIONAL
C06,burst_and_pipe,"burst pipe Kensington | leaking pipe Kensington | pipe repair Kensington | pipe making noise | pipe banging",/services/leak-repair,EXISTING_PAGE_OWNER,BUILD_AFTER_GSC_DATA,"Current leak route can explain damaged/visible pipework. A pipe-repair service needs distinct Search Console demand and a safe scope boundary before a URL is proposed.",DIRECTIONAL
C07,flexi_and_under_sink,"flexi hose leaking | water leak under sink | water leaking under basin | isolation valve leaking",/services/leak-repair,SUPPORTING_TERM_ONLY,MERGE_INTO_EXISTING,"These are likely leak-location qualifiers. Add only if they improve the existing source-location decision path.",DIRECTIONAL
C08,overflow_pipe,"overflow pipe leaking | overflow pipe dripping | overflow from toilet cistern",/plumbing-problems/overflow-pipe-leaking,NEW_PAGE_CANDIDATE,BUILD_AFTER_GSC_DATA,"Potentially distinct visible external-symptom intent, but boiler/tank ambiguity is high. Exclude boiler/heating ownership and require impressions/click evidence first.",DIRECTIONAL
C09,blocked_toilet,"blocked toilet Kensington | toilet draining slowly | toilet water rising when flushed | recurring blockage",/services/blocked-toilet,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Blocked toilet owns rising water, slow clearance and drain-blockage language. Do not split slow-flush variants.",DIRECTIONAL
C10,toilet_flush_fault,"toilet won't flush | toilet not flushing | flush button not working | weak toilet flush",/plumbing-problems/toilet-wont-flush,EXISTING_PAGE_OWNER,MERGE_INTO_EXISTING,"Problem page owns the initial decision; toilet-repair service owns the commercial remedy. Keep the blockage comparison visible.",DIRECTIONAL
